OID,Number,Abbrev,Private,Type,Bldg,BldgAbbr,BldgName,YearBuilt,NumFloors,Address,City,Zip,MapDisplay,Shape_Length,Shape_Area
,4011,,No,UNIVERSITY,4011,,Equipment Storage/Diet Prep,1997,01,7767 Raymond Stotzer Pw STE 4011,College Station,77843,Equipment Storage/Diet Prep |  | 4011,77.491061946405239,375.094663815754529
,4037,,No,UNIVERSITY,4037,,HortTREC Office-Warehouse,2015,01,3199 CR 269 E,Somerville,77843,HortTREC Office-Warehouse |  | 4037,143.854720590337052,1063.284698468699162
,4036,,No,UNIVERSITY,4036,,HortTREC Greenhouse North,2015,01,3199 CR 269 E,Somerville,77843,HortTREC Greenhouse North |  | 4036,49.022990815487766,141.677905649662563
,,,No,OTHER,,,,,,,,, |  | ,84.868731797734057,367.028002203249571
,4035,,No,OTHER,4035,,HortTREC Pesticide Locker,2015,01,3199 CR 269 E,Somerville,77843,HortTREC Pesticide Locker |  | 4035,78.532483720578654,274.925380960377709
,0044,,No,UNIVERSITY,0044,,Farm Service Chemical Storage,1995,01,201 Reveille Rd,College Station,77843,Farm Service Chemical Storage |  | 0044,44.454498422928125,105.229283279693760
,,USDA,No,FEDERAL,,,,,,,,, | USDA | ,73.943880953421655,210.833576805138904
,0060,,No,OTHER,0060,,Rainwater Restroom,2008,01,,College Station,77843,Rainwater Restroom |  | 0060,72.194388643358053,283.770530335086846
,4034,,No,UNIVERSITY,4034,,HortTREC Headhouse North,2016,01,3199 CR 269 E,Somerville,77843,HortTREC Headhouse North |  | 4034,30.850806047506136,59.485083843634470
,4030,,No,UNIVERSITY,4030,,HortTREC Greenhouse Complex,2016,01,3199 CR 269 E,Somerville,77843,HortTREC Greenhouse Complex |  | 4030,204.606540483873005,2569.459278129520044
,4031,,No,UNIVERSITY,4031,,HortTREC Complex Headhouse,2016,01,3199 CR 269 E,Somerville,77843,HortTREC Complex Headhouse |  | 4031,72.107567827882804,279.243775455748846
,,,No,OTHER,,,,,,,,, |  | ,17.945480729921790,19.903849936321279
,4032,,No,OTHER,4032,,HortTREC Winteringhouse West,2016,01,3199 CR 269 E,Somerville,77843,HortTREC Winteringhouse West |  | 4032,55.870876023065115,175.126528268882595
,4033,,No,OTHER,4033,,HortTREC Winteringhouse East,2016,01,3199 CR 269 E,Somerville,77843,HortTREC Winteringhouse East |  | 4033,56.405802599063534,177.667279054359767
,,,No,OTHER,,,,,,,,, |  | ,96.348910301378567,580.184319678630686
,0082,,,,0082,,Wildlife and Fisheries Building C,,,,,,Wildlife and Fisheries Building C |  | 0082,19.678668797589143,23.002374087893916
,0081,,,,0081,,Wildlife and Fisheries Building B,,,,,,Wildlife and Fisheries Building B |  | 0081,51.209454250587008,163.752814526909503
,0080,,,,0080,,Wildlife and Fisheries Building A,,,,,,Wildlife and Fisheries Building A |  | 0080,25.676537136152429,39.997523821867489
, ,,No,UNIVERSITY,,,,,,,,, |  | ,69.014494724854302,377.870082998844453
,1365,,No,UNIVERSITY,1365,,ESTI EMS Classroom,2002,01,1911 Emergency Response Dr,College Station,77843,ESTI EMS Classroom |  | 1365,52.531449091955821,140.899849988260883
,1367,,No,UNIVERSITY,1367,,ESTI EMS Office,2002,01,1915 Emergency Response Dr,College Station,77843,ESTI EMS Office |  | 1367,52.530976045764589,140.900301485810473
, ,,No,UNIVERSITY,,,,,,,,, |  | ,6.443478454941474,2.530620999765858
,1364,,No,UNIVERSITY,1364,,EMS Classroom/EMS Storage,2001,01,1919 Emergency Response Dr,College Station,77843,EMS Classroom/EMS Storage |  | 1364,52.352156401103173,140.163464481203590
,1359,,No,UNIVERSITY,1359,,ESTI Hazardous Materials Classrm/Mrkting Office,2001,01,1923 Emergency Response Dr,College Station,77843,ESTI Hazardous Materials Classrm/Mrkting Office |  | 1359,52.405013478950011,140.422066940530954
,1358,,No,UNIVERSITY,1358,,ESTI Business Office,2001,01,1927 Emergency Response Dr,College Station,77843,ESTI Business Office |  | 1358,52.371825442203871,140.336633958737906
, ,,No,UNIVERSITY,,,,,,,,, |  | ,20.991289345249438,26.193870519329057
, ,,No,UNIVERSITY,,,,,,,,, |  | ,16.152370907331424,14.181528995501905
, ,,No,UNIVERSITY,,,,,,,,, |  | ,67.932924134977455,365.964322022446140
, ,,No,UNIVERSITY,,,,,,,,, |  | ,34.983655880259512,96.946403006010627
, ,,No,UNIVERSITY,,,,,,,,, |  | ,34.620417353444978,94.943339969120771
, ,,No,UNIVERSITY,,,,,,,,, |  | ,68.979123930994149,371.345371001485091
,4054,TPBB,No,UNIVERSITY,4054,TPBB,WWTP Digester Boiler Building,1994,01,,College Station,77843,WWTP Digester Boiler Building | TPBB | 4054,67.846386196195965,173.562477541931969
, ,,No,UNIVERSITY,,,,,,,,, |  | ,64.055715967070228,325.403679511586745
, ,,No,UNIVERSITY,,,,,,,,, |  | ,7.256766178994793,3.270551504492819
,4051,TPPP,No,UNIVERSITY,4051,TPPP,WWTP Primary Pump Building,1994,01,,College Station,77843,WWTP Primary Pump Building | TPPP | 4051,48.734779839868281,148.181042501643731
, ,,No,UNIVERSITY,,,,,,,,, |  | ,6.982387667440479,2.918568994114310
, ,,No,UNIVERSITY,,,,,,,,, |  | ,63.834593690969520,323.175977472049226
, ,,No,UNIVERSITY,,,,,,,,, |  | ,7.289747177170024,3.156946002874986
, ,,No,UNIVERSITY,,,,,,,,, |  | ,7.297272685338585,3.321426507579222
, ,,No,UNIVERSITY,,,,,,,,, |  | ,46.448207781682797,88.615814945321006
, ,,No,UNIVERSITY,,,,,,,,, |  | ,78.834208963190392,95.467408401836536
,1272,,No,UNIVERSITY,1272,,Easterwood Airport Control Tower,2005,01,,College Station,77843,Easterwood Airport Control Tower |  | 1272,63.468088913907046,142.533735464148094
,1273,,No,UNIVERSITY,1273,,Easterwood Airport Electrical Vault,,,,College Station,77843,Easterwood Airport Electrical Vault |  | 1273,27.126901851529901,36.705223092750707
,1360,,No,UNIVERSITY,1360,,ESTI Marine/EHS Office,2001,01,,College Station,77843,ESTI Marine/EHS Office |  | 1360,50.613982234732021,140.393253958646881
, ,,No,UNIVERSITY,,,,,,,,, |  | ,44.475354768278862,74.721689037573768
, ,,No,UNIVERSITY,,,,,,,,, |  | ,26.665939822358190,26.672142480306402
,3053,,No,UNIVERSITY,3053,,GERG Portable Building,1999,01,833 Graham Rd,College Station,77843,GERG Portable Building |  | 3053,38.125974406668064,65.746371961328634
,3054,,No,UNIVERSITY,3054,,GERG Warehouse,1999,01,833 Graham Rd,College Station,77843,GERG Warehouse |  | 3054,90.356898458039211,453.433326475861008
,3051,,No,UNIVERSITY,3051,,GERG East Lab & Office Building,1999,02,833 Graham Rd,College Station,77843,GERG East Lab & Office Building |  | 3051,177.968853895356261,625.228288955446942
,3055,,No,UNIVERSITY,3055,,GERG Solvent Shed,1999,01,833 Graham Rd,College Station,77843,GERG Solvent Shed |  | 3055,21.122998845729082,27.756427017086327
,3056,,No,UNIVERSITY,3056,,GERG Gas Shed,1999,01,833 Graham Rd,College Station,77843,GERG Gas Shed |  | 3056,21.249653041205246,28.108117002495185
,3050,,No,UNIVERSITY,3050,GERG,GERG Main Office Building,1999,01,833 Graham Rd,College Station,77843,GERG Main Office Building |  | 3050,143.953160621281825,1290.892825120984753
,3205,AMSB,No,UNIVERSITY,3205,AMSB,Texas A&M System Agency Office Building,2003,02,200 Technology Wy,College Station,77843,Texas A&M System Agency Office Building | AMSB | 3205,340.643386711255687,6125.032416731787634
,0759,WIND,No,ACADEMIC,0759,WIND,Nicks Low Speed Wind Tunnel,1945,02,1775 George Bush Dr W,College Station,77843,Nicks Low Speed Wind Tunnel | WIND | 0759,314.323557614940228,1200.406093067140091
,0744,,No,UNIVERSITY,0744,,Wind Tunnel Compressor Building,1983,01,1787 George Bush Dr W,College Station,77843,Wind Tunnel Compressor Building |  | 0744,44.401244557773424,121.256832056420322
,0755,,No,OTHER,0755,,Easterwood General Aviation Terminal,1958,01,1770 George Bush Dr W,College Station,77843,Easterwood General Aviation Terminal |  | 0755,142.610215889366884,731.464433054633673
,0754,,No,UNIVERSITY,0754,,Easterwood Shops,1944,01,1810 George Bush Dr W,College Station,77843,Easterwood Shops |  | 0754,75.655658887163781,305.039407041308891
,1297,,No,ACADEMIC,1297,,"Land, Air, Space Robotics",1991,01,1188 Nuclear Science Rd,College Station,77843,"Land, Air, Space Robotics |  | 1297",102.063950722450571,527.702688105195648
,1143,,No,UNIVERSITY,1143,,ESTI Fixed System Classroom,1978,01,1595 Nuclear Science Rd,College Station,77843,ESTI Fixed System Classroom |  | 1143,50.670474303129467,156.847321199055386
,0344,,No,UNIVERSITY,0344,,ESTI Recruit Classroom/Fire Station,1983,02,1625 Nuclear Science Rd,College Station,77843,ESTI Recruit Classroom/Fire Station |  | 0344,173.626673926429703,1419.829846387025100
,1337,,No,UNIVERSITY,1337,,ESTI Drill Towners (Steel/Brick) Shelter,,,,College Station,77843,ESTI Drill Towners (Steel/Brick) Shelter |  | 1337,26.886022620828562,44.884273014849100
,0688,,No,UNIVERSITY,0688,,ESTI Industrial Technician Office/Shop,1975,02,,College Station,77843,ESTI Industrial Technician Office/Shop |  | 0688,61.493000039330127,227.228158525765764
,0342,,No,UNIVERSITY,0342,,ESTI Field Maintenance Office,1948,01,1595 Nuclear Science Rd,College Station,77843,ESTI Field Maintenance Office |  | 0342,38.359227065900683,81.344527991642181
,0689,,No,UNIVERSITY,0689,,ESTI Warehouse Building,1976,02,,College Station,77843,ESTI Warehouse Building |  | 0689,61.872771253301813,229.836380464589183
,1287,,No,UNIVERSITY,1287,,ESTI EMS Shop/Storage Building,2003,02,,College Station,77843,ESTI EMS Shop/Storage Building |  | 1287,93.158238433113652,441.233924232467928
,0149,,No,UNIVERSITY,0149,,ESTI Haz Mat Office,1992,01,1595 Nuclear Science Rd,College Station,77843,ESTI Haz Mat Office |  | 0149,39.924782137272665,79.539620983281452
,1140,,No,UNIVERSITY,1140,,ESTI Extinguisher Refill Building,1978,01,1595 Nuclear Science Rd,College Station,77843,ESTI Extinguisher Refill Building |  | 1140,98.533401788225618,603.056819023028083
,0148,,No,UNIVERSITY,0148,,ESTI Haz Mat Classroom,1992,01,1951 Emergency Response Dr,College Station,77843,ESTI Haz Mat Classroom |  | 0148,34.334366732165407,72.144514101453282
,1285,,No,UNIVERSITY,1285,,ESTI Multi-Use Shelter,,,1943 Emergency Response Dr,College Station,77843,ESTI Multi-Use Shelter |  | 1285,53.644847606509281,167.982245484547889
, ,,No,UNIVERSITY,,,,,,,,, |  | ,21.120637927911105,20.016600493028317
,1091,,No,UNIVERSITY,1091,,Easterwood Hangar 1091,1966,02,1820 George Bush Dr W,College Station,77843,Easterwood Hangar 1091 |  | 1091,122.047849523757762,619.002294527779213
,1259,,No,UNIVERSITY,1259,,Airport-Aircraft Hanger J,2000,01,1838 George Bush Dr W,College Station,77843,Airport-Aircraft Hanger J |  | 1259,79.860639344213226,395.886071453518753
,1203,PSNP,No,UNIVERSITY,1203,PSNP,Poultry Sci Nutrition & Phys,1986,01,1202 Harvey Mitchell Pw S Ste 1203,College Station,77843,Poultry Sci Nutrition & Phys | PSNP | 1203,121.839184857966785,652.320205467277447
,1205,,No,UNIVERSITY,1205,,Poultry Science Feed Mixing,1986,01,1202 Harvey Mitchell Pw S Ste 1205,College Station,77843,Poultry Science Feed Mixing |  | 1205,113.752391732570999,405.834249800780583
,1204,,No,UNIVERSITY,1204,,Poultry Sci Environmental Res,1986,01,1202 Harvey Mitchell Pw S Ste 1204,College Station,77843,Poultry Sci Environmental Res |  | 1204,136.416034289355480,676.559535123402384
,1212,,No,UNIVERSITY,1212,,Poultry Science Broiler #2,1986,01,1202 Harvey Mitchell Pw S Ste 1212,College Station,77843,Poultry Science Broiler #2 |  | 1212,104.255953120339953,419.314243027780947
,1206,,No,UNIVERSITY,1206,,Poultry Sci Equipment Storage,1986,01,1202 Harvey Mitchell Pw S Ste 1206,College Station,77843,Poultry Sci Equipment Storage |  | 1206,70.252815088974188,262.668673426758062
,1218,,No,UNIVERSITY,1218,,Refuse Collection Maintenance,1988,01,1204 Harvey Mitchell Pw S,College Station,77843,Refuse Collection Maintenance |  | 1218,43.917378659812769,118.586279021482085
,1210,,No,UNIVERSITY,1210,,PS Intensive Mgt & Rearing,1986,01,1202 Harvey Mitchell Pw S Ste 1210,College Station,77843,PS Intensive Mgt & Rearing |  | 1210,78.783384644751337,306.008842933593655
,1211,,No,UNIVERSITY,1211,,Poultry Science Broiler #1,1986,01,1202 Harvey Mitchell Pw S Ste 1211,College Station,77843,Poultry Science Broiler #1 |  | 1211,104.379740749037239,421.660652980376881
,1208,,No,UNIVERSITY,1208,,Poultry Sci Comparative Rearing,1986,01,1202 Harvey Mitchell Pw S Ste 1208,College Station,77843,Poultry Sci Comparative Rearing |  | 1208,110.615774238435250,535.598973998520023
,1209,,No,UNIVERSITY,1209,,Poultry Sci Integrated Repro,1986,01,1200 Harvey Mitchell Pw S Ste 1209,College Station,77843,Poultry Sci Integrated Repro |  | 1209,122.310099871826068,654.547157541536421
, ,,No,UNIVERSITY,,,,,,,,, |  | ,26.567909063353166,26.129534508851421
,1333,,No,UNIVERSITY,1333,,ESTI Lifting/Moving Shelter,,,,College Station,77843,ESTI Lifting/Moving Shelter |  | 1333,24.240432702535486,36.724439492265091
,1377,,No,UNIVERSITY,1377,,ESTI Office Complex Building Collapse,,,,College Station,77843,ESTI Office Complex Building Collapse |  | 1377,65.872148895780796,269.244966483593998
,1375,,No,UNIVERSITY,1375,,ESTI Tunneling System,,,,College Station,77843,ESTI Tunneling System |  | 1375,121.591930461860301,826.259099410728140
,1376,,No,UNIVERSITY,1376,,ESTI Single Family Building Collapse,,,,College Station,77843,ESTI Single Family Building Collapse |  | 1376,57.680708302071217,205.176300528155537
,1383,,No,UNIVERSITY,1383,,ESTI Strip Mall Collapse,,,,College Station,77843,ESTI Strip Mall Collapse |  | 1383,79.345458211841986,371.719775993101848
,1380,,No,UNIVERSITY,1380,,ESTI Industrial Complex Bldg Collapse,,,,College Station,77843,ESTI Industrial Complex Bldg Collapse |  | 1380,84.974429684942677,414.497179987683580
,1379,,No,UNIVERSITY,1379,,ESTI Multi-Purpose Building Collapse,,,,College Station,77843,ESTI Multi-Purpose Building Collapse |  | 1379,98.247950977233913,599.750900524725580
,1362,,No,UNIVERSITY,1362,,ESTI Marines Ship Deck Fires Shelter,,,,College Station,77843,ESTI Marines Ship Deck Fires Shelter |  | 1362,31.876660414525510,61.652415308683075
, ,,No,UNIVERSITY,,,,,,,,, |  | ,22.243373499674849,26.200075982959358
, ,,No,UNIVERSITY,,,,,,,,, |  | ,22.858925269484068,29.676299990915506
, ,,No,UNIVERSITY,,,,,,,,, |  | ,22.741606304207057,29.579556473244860
, ,,No,UNIVERSITY,,,,,,,,, |  | ,18.760572174088484,19.380567486734016
,1279,,No,UNIVERSITY,1279,,McKenzie Telecom Hub,,,,College Station,77843,McKenzie Telecom Hub |  | 1279,25.420288911924228,35.408473094574106
,1075,,No,UNIVERSITY,1075,,Ecology & Natural Resources Teaching Pavilion,1965,01,1852 Observatory Rd,College Station,77843,Ecology & Natural Resources Teaching Pavilion |  | 1075,50.508935478235379,154.845690996344757
,1277,,No,OTHER,1277,,Easterwood Rescue and Fire Facility,1999,01,1550 George Bush Dr W,College Station,77843,Easterwood Rescue and Fire Facility |  | 1277,143.550091463806496,1073.906909535116711
,1298,,No,ACADEMIC,1298,,Turbo Lab Support Building,1993,01,1485 George Bush Dr W,College Station,77843,Turbo Lab Support Building |  | 1298,92.749021532377355,480.483301961106406
,1299,,No,ACADEMIC,1299,,Turbomachinery Laboratory,1993,02,1485 George Bush Dr W,College Station,77843,Turbomachinery Laboratory |  | 1299,227.798039662960150,2407.364862359047947
,1323,,No,UNIVERSITY,1323,,ESTI Commercial/Retail Complex Fires,,,,College Station,77843,ESTI Commercial/Retail Complex Fires |  | 1323,32.238389726696752,63.745736495871675
,0700,,No,UNIVERSITY,0700,,ESTI 3-Story Project,1976,02,1595 Nuclear Science Rd,College Station,77843,ESTI 3-Story Project |  | 0700,51.603270331454681,136.991398015057712
,0339,,No,UNIVERSITY,0339,,ESTI Milti-User Shelter,,,,College Station,77843,ESTI Milti-User Shelter |  | 0339,32.756817989016014,66.012249474168669
,1324,,No,UNIVERSITY,1324,,ESTI Commercial/Retail Complex Fires,,,,College Station,77843,ESTI Commercial/Retail Complex Fires |  | 1324,25.540232332444660,40.696270978094731
,0337,,No,UNIVERSITY,0337,,ESTI Automobile Fires,,,,College Station,77843,ESTI Automobile Fires |  | 0337,25.656670579721244,41.101780987910416
